"Category","Fresh water flux 79N, 1 to 6.5W","Fresh water flux 78.8N, 1 to 6.5W","Fresh water flux 78.8N, 1 to 8W"
"1997-10-15",1028,,
"1997-11-15",1239,,
"1997-12-15",1278,,
"1998-01-15",997,,
"1998-02-15",1184,,
"1998-03-15",1390,,
"1998-04-15",752,,
"1998-05-15",1128,,
"1998-06-15",1178,,
"1998-07-15",1653,,
"1998-08-15",1459,,
"1998-09-15",1802,,
"1998-10-15",1982,,
"1998-11-15",859,,
"1998-12-15",1198,,
"1999-01-15",1041,,
"1999-02-15",1064,,
"1999-03-15",824,,
"1999-04-15",1212,,
"1999-05-15",721,,
"1999-06-15",755,,
"1999-07-15",707,,
"1999-08-15",757,,
"1999-09-15",675,,
"1999-10-15",682,,
"1999-11-15",907,,
"1999-12-15",900,,
"2000-01-15",1063,,
"2000-02-15",1085,,
"2000-03-15",1523,,
"2000-04-15",1341,,
"2000-05-15",860,,
"2000-06-15",657,,
"2000-07-15",1267,,
"2000-08-15",967,,
"2000-09-15",1343,,
"2000-10-15",1417,,
"2000-11-15",1155,,
"2000-12-15",1094,,
"2001-01-15",1102,,
"2001-02-15",715,,
"2001-03-15",711,,
"2001-04-15",832,,
"2001-05-15",750,,
"2001-06-15",932,,
"2001-07-15",767,,
"2001-08-15",812,,
"2001-09-15",1023,,
"2001-10-15",1041,,
"2001-11-15",1410,,
"2001-12-15",1062,,
"2002-01-15",1259,,
"2002-02-15",1162,,
"2002-03-15",1017,,
"2002-04-15",934,,
"2002-05-15",996,,
"2002-06-15",1333,,
"2002-07-15",1336,,
"2002-08-15",1529,,
"2002-09-15",,1327,
"2002-10-15",,1683,
"2002-11-15",,904,
"2002-12-15",,592,
"2003-01-15",,863,
"2003-02-15",,655,
"2003-03-15",,536,
"2003-04-15",,273,
"2003-05-15",,407,
"2003-06-15",,747,
"2003-07-15",,1150,
"2003-08-15",,1227,
"2003-09-15",,1647,2150
"2003-10-15",,1137,1810
"2003-11-15",,1001,1396
"2003-12-15",,1454,1832
"2004-01-15",,1469,2235
"2004-02-15",,1641,2441
"2004-03-15",,1038,1482
"2004-04-15",,952,1466
"2004-05-15",,1213,1529
"2004-06-15",,1326,1726
"2004-07-15",,381,123
"2004-08-15",,364,1193
"2004-09-15",,702,1156
"2004-10-15",,1022,1637
"2004-11-15",,1112,2220
"2004-12-15",,1227,2354
"2005-01-15",,1307,2141
"2005-02-15",,1228,2381
"2005-03-15",,1195,2407
"2005-04-15",,1098,2164
"2005-05-15",,1286,2424
"2005-06-15",,1050,2059
"2005-07-15",,1260,2123
"2005-08-15",,672,994
"2005-09-15",,1231,2534
"2005-10-15",,1493,2483
"2005-11-15",,1711,2687
"2005-12-15",,1351,2235
"2006-01-15",,1081,2048
"2006-02-15",,1525,2870
"2006-03-15",,1011,2264
"2006-04-15",,898,1711
"2006-05-15",,951,1321
"2006-06-15",,1275,1832
"2006-07-15",,1768,2169
"2006-08-15",,1602,1533
"2006-09-15",,1746,2696
"2006-10-15",,1253,2614
"2006-11-15",,555,1838
"2006-12-15",,870,1979
"2007-01-15",,1478,3201
"2007-02-15",,777,1966
"2007-03-15",,1248,3115
"2007-04-15",,1542,3066
"2007-05-15",,1208,2295
"2007-06-15",,985,1981
"2007-07-15",,882,1622
"2007-08-15",,1452,2306
"2007-09-15",,1982,3349
"2007-10-15",,1705,3050
"2007-11-15",,1331,2283
"2007-12-15",,1092,1846
"2008-01-15",,1148,1907
"2008-02-15",,669,1597
"2008-03-15",,902,1599
"2008-04-15",,1035,1597
"2008-05-15",,1140,1548
"2008-06-15",,441,1088
"2008-07-15",,915,1383
"2008-08-15",,1287,2069
"2008-09-15",,1429,1249
"2008-10-15",,1228,1978
"2008-11-15",,1362,2220
"2008-12-15",,1218,1546
"2009-01-15",,1322,1546
"2009-02-15",,1109,1470
"2009-03-15",,979,1653
"2009-04-15",,1137,1674
"2009-05-15",,1229,1541
"2009-06-15",,1085,1191
"2009-07-15",,1079,1125
"2009-08-15",,1070,1620
"2009-09-15",,1072,2607
"2009-10-15",,1568,3198
"2009-11-15",,1238,2284
"2009-12-15",,1262,1846
"2010-01-15",,1371,1895
"2010-02-15",,1273,2714
"2010-03-15",,1220,2861
"2010-04-15",,1011,2008
"2010-05-15",,1065,2141
"2010-06-15",,1109,1964
"2010-07-15",,1450,2110
"2010-08-15",,1179,1871
"2010-09-15",,1231,2288
"2010-10-15",,1297,2388
"2010-11-15",,1174,1573
"2010-12-15",,1753,2550
"2011-01-15",,1621,2577
"2011-02-15",,1403,2282
"2011-03-15",,1866,3678
"2011-04-15",,1373,2698
"2011-05-15",,975,1461
"2011-06-15",,1220,2769
"2011-07-15",,2262,3464
"2011-08-15",,2339,3880
"2011-09-15",,2161,2152
"2011-10-15",,2534,3932
"2011-11-15",,2584,3900
"2011-12-15",,2484,4096
"2012-01-15",,1526,1990
"2012-02-15",,1477,2510
"2012-03-15",,1563,2702
"2012-04-15",,1213,2305
"2012-05-15",,985,1861
"2012-06-15",,922,1447
"2012-07-15",,1641,1759
"2012-08-15",,863,795
"2012-09-15",,2926,3199
"2012-10-15",,2562,3489
"2012-11-15",,2559,3874
"2012-12-15",,2072,3106
"2013-01-15",,1561,2620
"2013-02-15",,1087,2089
"2013-03-15",,816,1923
"2013-04-15",,820,1704
"2013-05-15",,897,1529
"2013-06-15",,912,1380
"2013-07-15",,1985,3054
"2013-08-15",,1762,1884
"2013-09-15",,1206,1539
"2013-10-15",,1576,2420
"2013-11-15",,2085,2675
"2013-12-15",,1387,2142
"2014-01-15",,1306,1813
"2014-02-15",,1247,2347
"2014-03-15",,1640,3028
"2014-04-15",,1296,2929
"2014-05-15",,1280,2366
"2014-06-15",,1767,2256
"2014-07-15",,1215,2517
"2014-08-15",,1075,2493
"2014-09-15",,1929,3022
"2014-10-15",,1848,1963
"2014-11-15",,1407,1656
"2014-12-15",,1981,2300
"2015-01-15",,2113,2439
"2015-02-15",,1713,2438
"2015-03-15",,1478,2334
"2015-04-15",,1133,1791
"2015-05-15",,789,1271
"2015-06-15",,862,1569
"2015-07-15",,1268,2462
"2015-08-15",,1791,3934
"2015-09-15",,,1676
"2015-10-15",,,1676
"2015-11-15",,,1551
"2015-12-15",,,2120
"2016-01-15",,,1305
"2016-02-15",,,1870
"2016-03-15",,,1474
"2016-04-15",,,992
"2016-05-15",,,1325
"2016-06-15",,,529
"2016-07-15",,,1041
"2016-08-15",,,1234
"2016-09-15",,,1582
"2016-10-15",,,1406
"2016-11-15",,,1722
"2016-12-15",,,2145
"2017-01-15",,,3242
"2017-02-15",,,3328
"2017-03-15",,,2830
"2017-04-15",,,3786
"2017-05-15",,,2400
"2017-06-15",,,1943
"2017-07-15",,,1975
"2017-08-15",,,1870
"2017-09-15",,,1800
"2017-10-15",,,1602
"2017-11-15",,,3651
"2017-12-15",,,3343
"2018-01-15",,,1701
"2018-02-15",,,1187
"2018-03-15",,,1415
"2018-04-15",,,1482
"2018-05-15",,,1142
"2018-06-15",,,1634
"2018-07-15",,,1186
"2018-08-15",,,1123
"2018-09-15",,,2199
"2018-10-15",,,2197
"2018-11-15",,,1793
"2018-12-15",,,1723
"2019-01-15",,,2075
"2019-02-15",,,2237
"2019-03-15",,,2368
"2019-04-15",,,1282
"2019-05-15",,,1043
"2019-06-15",,,672
"2019-07-15",,,974
"2019-08-15",,,1356